"Inflasi Umum , Inti, Harga Diatur Pemerintah, dan Bergejolak Nasional (M-to-M dan Y-to-D)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tahun/Bulan,,Umum,Inti,Harga-Diatur Pemerintah,Bergejolak,,,,,,,,,,,
,November,0.28,0.06,0.16,1.31,,,,,,,,,,,
,Oktober,0.07,0.04,-0.15,0.40,,,,,,,,,,,
,September,-0.05,0.13,-0.19,-0.60,,,,,,,,,,,
,Agustus,-0.05,0.29,-0.02,-1.44,,,,,,,,,,,
,Juli,-0.10,0.16,-0.07,-1.19,,,,,,,,,,,
,Juni,0.18,0.02,0.22,0.77,,,,,,,,,,,
,Mei,0.07,0.06,0.67,-0.50,,,,,,,,,,,
,April,0.08,0.17,-0.14,-0.09,,,,,,,,,,,
,Maret,0.10,0.29,-0.19,-0.38,,,,,,,,,,,
,Februari,0.28,0.14,-0.11,1.27,,,,,,,,,,,
,Januari,0.39,0.19,-0.28,1.93,,,,,,,,,,,
2019,,2.72,3.02,0.51,4.30,,,,,,,,,,,
,Desember,0.34,0.11,0.63,0.86,,,,,,,,,,,
,November,0.14,0.11,0.03,0.42,,,,,,,,,,,
,Oktober,0.02,0.17,0.03,-0.47,,,,,,,,,,,
,September,-0.27,0.29,0.01,-2.26,,,,,,,,,,,
,Agustus,0.12,0.43,-0.40,-0.25,,,,,,,,,,,
,Juli,0.31,0.33,-0.36,0.89,,,,,,,,,,,
,Juni,0.55,0.38,-0.09,1.70,,,,,,,,,,,
,Mei,0.68,0.27,0.48,2.18,,,,,,,,,,,
,April,0.44,0.17,0.16,1.59,,,,,,,,,,,
,Maret,0.11,0.16,0.08,-0.02,,,,,,,,,,,
,Februari,-0.08,0.26,0.06,-1.30,,,,,,,,,,,
,Januari,0.32,0.30,-0.12,0.97,,,,,,,,,,,
2018,,3.13,3.07,3.36,3.39,,,,,,,,,,,
,Desember,0.62,0.17,1.20,1.55,,,,,,,,,,,
,November,0.27,0.22,0.52,0.23,,,,,,,,,,,
,Oktober,0.28,0.29,0.32,0.17,,,,,,,,,,,
,September,-0.18,0.28,0.00,-1.83,,,,,,,,,,,
,Agustus,-0.05,0.30,-0.06,-1.24,,,,,,,,,,,
,Juli,0.28,0.41,-0.68,0.90,,,,,,,,,,,
,Juni,0.59,0.24,1.38,0.90,,,,,,,,,,,
,Mei,0.21,0.21,0.27,0.19,,,,,,,,,,,
,April,0.10,0.15,0.24,-0.29,,,,,,,,,,,
,Maret,0.20,0.19,0.20,0.15,,,,,,,,,,,
,Februari,0.17,0.26,0.07,0.10,,,,,,,,,,,
,Januari,0.62,0.31,-0.15,2.58,,,,,,,,,,,
2017,,3.61,2.95,8.70,0.71,,,,,,,,,,,
,Desember,0.71,0.13,0.91,2.46,,,,,,,,,,,
,November,0.20,0.13,0.21,0.38,,,,,,,,,,,
,Oktober,0.01,0.17,-0.01,-0.53,,,,,,,,,,,
,September,0.13,0.35,0.15,-0.67,,,,,,,,,,,
,Agustus,-0.07,0.28,-0.48,-0.87,,,,,,,,,,,
,Juli,0.22,0.26,0.07,0.17,,,,,,,,,,,
,Juni,0.69,0.26,2.10,0.65,,,,,,,,,,,
,Mei,0.39,0.16,0.69,0.91,,,,,,,,,,,
,April,0.09,0.13,1.27,-1.26,,,,,,,,,,,
,Maret,-0.02,0.10,0.37,-0.77,,,,,,,,,,,
,Februari,0.23,0.37,0.58,-0.36,,,,,,,,,,,
,Januari,0.97,0.56,2.57,0.67,,,,,,,,,,,
2016,,3.02,3.07,0.21,5.92,,,,,,,,,,,
,Desember,0.42,0.23,0.97,0.47,,,,,,,,,,,
,November,0.47,0.15,0.13,1.84,,,,,,,,,,,
,Oktober,0.14,0.10,0.57,-0.26,,,,,,,,,,,
,September,0.22,0.33,0.14,-0.09,,,,,,,,,,,
,Agustus,-0.02,0.36,-0.52,-0.80,,,,,,,,,,,
,Juli,0.69,0.34,1.32,1.20,,,,,,,,,,,
,Juni,0.66,0.33,0.72,1.71,,,,,,,,,,,
,Mei,0.24,0.23,0.27,0.32,,,,,,,,,,,
,April,-0.45,0.15,-1.70,-1.04,,,,,,,,,,,
,Maret,0.19,0.21,-0.35,0.75,,,,,,,,,,,
,Februari,-0.09,0.31,-0.76,-0.68,,,,,,,,,,,
,Januari,0.51,0.29,-0.55,2.40,,,,,,,,,,,
2015,,3.35,3.95,0.39,4.84,,,,,,,,,,,
,Desember,0.96,0.23,0.86,3.53,,,,,,,,,,,
,November,0.21,0.16,0.20,0.35,,,,,,,,,,,
,Oktober,-0.08,0.23,0.03,-1.22,,,,,,,,,,,
,September,-0.05,0.44,-0.40,-1.25,,,,,,,,,,,
,Agustus,0.39,0.52,-0.45,0.95,,,,,,,,,,,
,Juli,0.93,0.34,1.67,2.13,,,,,,,,,,,
,Juni,0.54,0.26,0.26,1.74,,,,,,,,,,,
,Mei,0.50,0.23,0.38,1.52,,,,,,,,,,,
,April,0.36,0.24,1.88,-0.91,,,,,,,,,,,
,Maret,0.17,0.29,0.83,-0.83,,,,,,,,,,,
,Februari,-0.36,0.34,-1.24,-1.69,,,,,,,,,,,
,Januari,-0.24,0.61,-3.51,0.55,,,,,,,,,,,
2014,,8.36,4.93,17.57,10.88,,,,,,,,,,,
,Desember,2.46,1.02,6.10,3.53,,,,,,,,,,,
,November,1.50,0.40,4.20,2.37,,,,,,,,,,,
,Oktober,0.47,0.27,1.34,0.24,,,,,,,,,,,
,September,0.27,0.29,0.54,-0.22,,,,,,,,,,,
,Agustus,0.47,0.46,0.63,0.33,,,,,,,,,,,
,Juli,0.93,0.52,1.32,2.00,,,,,,,,,,,
,Juni,0.43,0.25,0.45,1.06,,,,,,,,,,,
,Mei,0.16,0.23,0.30,-0.22,,,,,,,,,,,
,April,-0.02,0.24,0.28,-1.26,,,,,,,,,,,
,Maret,0.08,0.21,0.31,-0.55,,,,,,,,,,,
,Februari,0.26,0.37,0.01,0.32,,,,,,,,,,,
,Januari,1.07,0.56,1.00,2.89,,,,,,,,,,,
2013,,8.38,4.98,16.65,11.83,,,,,,,,,,,
,Desember,0.55,0.45,0.52,0.79,,,,,,,,,,,
,November,0.12,0.20,0.63,-0.57,,,,,,,,,,,
,Oktober,0.09,0.34,0.25,-0.80,,,,,,,,,,,
,September,-0.35,0.57,0.34,-3.38,,,,,,,,,,,
,Agustus,1.12,1.01,0.62,1.82,,,,,,,,,,,
,Juli,3.29,0.99,7.90,6.07,,,,,,,,,,,
,Juni,1.03,0.32,3.24,1.18,,,,,,,,,,,
,Mei,-0.03,0.06,0.96,-1.10,,,,,,,,,,,
,April,-0.10,0.14,0.14,-0.96,,,,,,,,,,,
,Maret,0.63,0.13,0.24,2.44,,,,,,,,,,,
,Februari,0.75,0.30,0.72,2.32,,,,,,,,,,,
,Januari,1.03,0.36,0.20,3.76,,,,,,,,,,,
2012,,4.30,4.40,2.66,5.68,,,,,,,,,,,
,Desember,0.54,0.28,0.10,1.82,,,,,,,,,,,
,November,0.07,0.14,0.05,-0.11,,,,,,,,,,,
,Oktober,0.16,0.33,0.23,"-0,41",,,,,,,,,,,
,September,0.01,0.34,0.28,"-1,17",,,,,,,,,,,
,Agustus,0.95,0.97,0.35,"1,46",,,,,,,,,,,
,Juli,0.70,0.54,0.03,"1,82",,,,,,,,,,,
,Juni,0.62,0.34,0.26,"1,73",,,,,,,,,,,
,Mei,0.07,0.18,0.09,"-0,25",,,,,,,,,,,
,April,0.21,0.23,0.32,"0,07",,,,,,,,,,,
,Maret,0.07,0.20,0.24,"-0,41",,,,,,,,,,,
,Februari,0.05,0.33,0.24,"-0,94",,,,,,,,,,,
,Januari,0.76,0.44,0.43,2.02,,,,,,,,,,,
2011,,3.79,4.34,2.78,3.37,,,,,,,,,,,
,Desember,0.57,0.28,0.14,1.92,,,,,,,,,,,
,November,0.34,0.31,0.15,0.72,,,,,,,,,,,
,Oktober,-0.12,-0.12,0.16,-0.37,,,,,,,,,,,
,September,0.27,0.39,0.32,-0.20,,,,,,,,,,,
,Agustus,0.93,1.09,0.29,1.00,,,,,,,,,,,
,Juli,0.67,0.42,0.21,2.05,,,,,,,,,,,
,Juni,0.55,0.33,0.32,1.42,,,,,,,,,,,
,Mei,0.12,0.27,0.20,-0.44,,,,,,,,,,,
,April,-0.31,0.25,0.17,-2.31,,,,,,,,,,,
,Maret,-0.32,0.25,0.21,-2.28,,,,,,,,,,,
,Februari,0.13,0.31,0.32,-0.48,,,,,,,,,,,
,Januari,0.89,0.49,0.26,2.42,,,,,,,,,,,
2010,,6.96,4.28,5.40,17.74,,,,,,,,,,,
,Desember,0.92,0.38,0.18,3.29,,,,,,,,,,,
,November,0.60,0.30,0.23,1.69,,,,,,,,,,,
,Oktober,0.06,0.36,0.08,-0.97,,,,,,,,,,,
,September,0.44,0.59,0.18,0.28,,,,,,,,,,,
,Agustus,0.76,0.52,2.09,0.45,,,,,,,,,,,
,Juli,1.57,0.49,1.24,5.46,,,,,,,,,,,
,Juni,0.97,0.34,0.19,3.70,,,,,,,,,,,
,Mei,0.29,0.25,0.15,0.57,,,,,,,,,,,
,April,0.15,0.09,0.23,0.34,,,,,,,,,,,
,Maret,-0.14,0.15,0.08,-1.14,,,,,,,,,,,
,Februari,0.30,0.15,0.18,1.00,,,,,,,,,,,
,Januari,0.84,0.59,0.44,1.98,,,,,,,,,,,
2009,,2.78,4.28,-3.26,3.95,,,,,,,,,,,
,Desember,0.33,0.40,0.68,-0.19,,,,,,,,,,,
,November,-0.03,0.18,0.11,-0.85,,,,,,,,,,,
,Oktober,0.19,0.20,-0.01,0.35,,,,,,,,,,,
,September,1.05,0.80,0.29,2.67,,,,,,,,,,,
,Agustus,0.56,0.43,0.20,1.41,,,,,,,,,,,
,Juli,0.45,0.31,0.13,1.22,,,,,,,,,,,
,Juni,0.11,0.20,0.09,-0.23,,,,,,,,,,,
,Mei,0.04,0.13,0.04,-0.27,,,,,,,,,,,
,April,-0.31,-0.04,0.14,-1.53,,,,,,,,,,,
,Maret,0.22,0.46,0.04,-0.40,,,,,,,,,,,
,Februari,0.21,0.68,-2.20,0.98,,,,,,,,,,,
,Januari,-0.07,0.44,-2.67,0.79,,,,,,,,,,,
