id,kode_provinsi,nama_provinsi,kode_bulan,nama_bulan,tingkat_pengangguran_terbuka,satuan,tahun
244,18,LAMPUNG,8,AGUSTUS,4.23,PERSEN,2023
245,19,KEP. BANGKA BELITUNG,2,FEBRUARI,3.89,PERSEN,2023
246,19,KEP. BANGKA BELITUNG,8,AGUSTUS,4.56,PERSEN,2023
247,21,KEP. RIAU,2,FEBRUARI,7.61,PERSEN,2023
248,21,KEP. RIAU,8,AGUSTUS,6.8,PERSEN,2023
249,31,DKI JAKARTA,2,FEBRUARI,7.57,PERSEN,2023
250,31,DKI JAKARTA,8,AGUSTUS,6.53,PERSEN,2023
251,32,JAWA BARAT,2,FEBRUARI,7.89,PERSEN,2023
252,32,JAWA BARAT,8,AGUSTUS,7.44,PERSEN,2023
253,33,JAWA TENGAH,2,FEBRUARI,5.24,PERSEN,2023
254,33,JAWA TENGAH,8,AGUSTUS,5.13,PERSEN,2023
255,34,DI YOGYAKARTA,2,FEBRUARI,3.58,PERSEN,2023
256,34,DI YOGYAKARTA,8,AGUSTUS,3.69,PERSEN,2023
257,35,JAWA TIMUR,2,FEBRUARI,4.33,PERSEN,2023
258,35,JAWA TIMUR,8,AGUSTUS,4.88,PERSEN,2023
259,36,BANTEN,2,FEBRUARI,7.97,PERSEN,2023
260,36,BANTEN,8,AGUSTUS,7.52,PERSEN,2023
261,51,BALI,2,FEBRUARI,3.73,PERSEN,2023
262,51,BALI,8,AGUSTUS,2.69,PERSEN,2023
263,52,NUSA TENGGARA BARAT,2,FEBRUARI,3.73,PERSEN,2023
264,52,NUSA TENGGARA BARAT,8,AGUSTUS,2.8,PERSEN,2023
265,53,NUSA TENGGARA TIMUR,2,FEBRUARI,3.1,PERSEN,2023
266,53,NUSA TENGGARA TIMUR,8,AGUSTUS,3.14,PERSEN,2023
267,61,KALIMANTAN BARAT,2,FEBRUARI,4.52,PERSEN,2023
268,61,KALIMANTAN BARAT,8,AGUSTUS,5.05,PERSEN,2023
269,62,KALIMANTAN TENGAH,2,FEBRUARI,3.84,PERSEN,2023
270,62,KALIMANTAN TENGAH,8,AGUSTUS,4.1,PERSEN,2023
271,63,KALIMANTAN SELATAN,2,FEBRUARI,3.95,PERSEN,2023
272,63,KALIMANTAN SELATAN,8,AGUSTUS,4.31,PERSEN,2023
273,64,KALIMANTAN TIMUR,2,FEBRUARI,6.37,PERSEN,2023
274,64,KALIMANTAN TIMUR,8,AGUSTUS,5.31,PERSEN,2023
275,65,KALIMANTAN UTARA,2,FEBRUARI,4.1,PERSEN,2023
276,65,KALIMANTAN UTARA,8,AGUSTUS,4.01,PERSEN,2023
277,71,SULAWESI UTARA,2,FEBRUARI,6.19,PERSEN,2023
278,71,SULAWESI UTARA,8,AGUSTUS,6.1,PERSEN,2023
279,72,SULAWESI TENGAH,2,FEBRUARI,3.49,PERSEN,2023
280,72,SULAWESI TENGAH,8,AGUSTUS,2.95,PERSEN,2023
281,73,SULAWESI SELATAN,2,FEBRUARI,5.26,PERSEN,2023
282,73,SULAWESI SELATAN,8,AGUSTUS,4.33,PERSEN,2023
283,74,SULAWESI TENGGARA,2,FEBRUARI,3.66,PERSEN,2023
284,74,SULAWESI TENGGARA,8,AGUSTUS,3.15,PERSEN,2023
285,75,GORONTALO,2,FEBRUARI,3.07,PERSEN,2023
286,75,GORONTALO,8,AGUSTUS,3.06,PERSEN,2023
287,76,SULAWESI BARAT,2,FEBRUARI,3.04,PERSEN,2023
288,76,SULAWESI BARAT,8,AGUSTUS,2.27,PERSEN,2023
289,81,MALUKU,2,FEBRUARI,6.08,PERSEN,2023
290,81,MALUKU,8,AGUSTUS,6.31,PERSEN,2023
291,82,MALUKU UTARA,2,FEBRUARI,4.6,PERSEN,2023
292,82,MALUKU UTARA,8,AGUSTUS,4.31,PERSEN,2023
293,91,PAPUA BARAT,2,FEBRUARI,5.53,PERSEN,2023
294,91,PAPUA BARAT,8,AGUSTUS,5.38,PERSEN,2023
295,92,PAPUA BARAT DAYA,2,FEBRUARI,,PERSEN,2023
296,92,PAPUA BARAT DAYA,8,AGUSTUS,,PERSEN,2023
297,94,PAPUA,2,FEBRUARI,3.49,PERSEN,2023
298,94,PAPUA,8,AGUSTUS,2.67,PERSEN,2023
299,95,PAPUA SELATAN,2,FEBRUARI,,PERSEN,2023
300,95,PAPUA SELATAN,8,AGUSTUS,,PERSEN,2023
301,96,PAPUA TENGAH,2,FEBRUARI,,PERSEN,2023
302,96,PAPUA TENGAH,8,AGUSTUS,,PERSEN,2023
303,97,PAPUA PEGUNUNGAN,2,FEBRUARI,,PERSEN,2023
304,97,PAPUA PEGUNUNGAN,8,AGUSTUS,,PERSEN,2023
305,11,ACEH,2,FEBRUARI,5.56,PERSEN,2024
306,11,ACEH,8,AGUSTUS,5.75,PERSEN,2024
307,12,SUMATERA UTARA,2,FEBRUARI,5.1,PERSEN,2024
308,12,SUMATERA UTARA,8,AGUSTUS,5.6,PERSEN,2024
309,13,SUMATERA BARAT,2,FEBRUARI,5.79,PERSEN,2024
310,13,SUMATERA BARAT,8,AGUSTUS,5.75,PERSEN,2024
311,14,RIAU,2,FEBRUARI,3.85,PERSEN,2024
312,14,RIAU,8,AGUSTUS,3.7,PERSEN,2024
313,15,JAMBI,2,FEBRUARI,4.45,PERSEN,2024
314,15,JAMBI,8,AGUSTUS,4.48,PERSEN,2024
315,16,SUMATERA SELATAN,2,FEBRUARI,3.97,PERSEN,2024
316,16,SUMATERA SELATAN,8,AGUSTUS,3.86,PERSEN,2024
317,17,BENGKULU,2,FEBRUARI,3.17,PERSEN,2024
318,17,BENGKULU,8,AGUSTUS,3.11,PERSEN,2024
319,18,LAMPUNG,2,FEBRUARI,4.12,PERSEN,2024
320,18,LAMPUNG,8,AGUSTUS,4.19,PERSEN,2024
321,19,KEP. BANGKA BELITUNG,2,FEBRUARI,3.85,PERSEN,2024
322,19,KEP. BANGKA BELITUNG,8,AGUSTUS,4.63,PERSEN,2024
323,21,KEP. RIAU,2,FEBRUARI,6.94,PERSEN,2024
324,21,KEP. RIAU,8,AGUSTUS,6.39,PERSEN,2024
325,31,DKI JAKARTA,2,FEBRUARI,6.03,PERSEN,2024
326,31,DKI JAKARTA,8,AGUSTUS,6.21,PERSEN,2024
327,32,JAWA BARAT,2,FEBRUARI,6.91,PERSEN,2024
328,32,JAWA BARAT,8,AGUSTUS,6.75,PERSEN,2024
329,33,JAWA TENGAH,2,FEBRUARI,4.39,PERSEN,2024
330,33,JAWA TENGAH,8,AGUSTUS,4.78,PERSEN,2024
331,34,DI YOGYAKARTA,2,FEBRUARI,3.24,PERSEN,2024
332,34,DI YOGYAKARTA,8,AGUSTUS,3.48,PERSEN,2024
333,35,JAWA TIMUR,2,FEBRUARI,3.74,PERSEN,2024
334,35,JAWA TIMUR,8,AGUSTUS,4.19,PERSEN,2024
335,36,BANTEN,2,FEBRUARI,7.02,PERSEN,2024
336,36,BANTEN,8,AGUSTUS,6.68,PERSEN,2024
337,51,BALI,2,FEBRUARI,1.87,PERSEN,2024
338,51,BALI,8,AGUSTUS,1.79,PERSEN,2024
339,52,NUSA TENGGARA BARAT,2,FEBRUARI,3.3,PERSEN,2024
340,52,NUSA TENGGARA BARAT,8,AGUSTUS,2.73,PERSEN,2024
341,53,NUSA TENGGARA TIMUR,2,FEBRUARI,3.17,PERSEN,2024
342,53,NUSA TENGGARA TIMUR,8,AGUSTUS,3.02,PERSEN,2024
343,61,KALIMANTAN BARAT,2,FEBRUARI,4.2,PERSEN,2024
344,61,KALIMANTAN BARAT,8,AGUSTUS,4.86,PERSEN,2024
345,62,KALIMANTAN TENGAH,2,FEBRUARI,3.67,PERSEN,2024
346,62,KALIMANTAN TENGAH,8,AGUSTUS,4.01,PERSEN,2024
347,63,KALIMANTAN SELATAN,2,FEBRUARI,3.89,PERSEN,2024
348,63,KALIMANTAN SELATAN,8,AGUSTUS,4.2,PERSEN,2024
349,64,KALIMANTAN TIMUR,2,FEBRUARI,5.75,PERSEN,2024
350,64,KALIMANTAN TIMUR,8,AGUSTUS,5.14,PERSEN,2024
351,65,KALIMANTAN UTARA,2,FEBRUARI,4.01,PERSEN,2024
352,65,KALIMANTAN UTARA,8,AGUSTUS,3.9,PERSEN,2024
353,71,SULAWESI UTARA,2,FEBRUARI,5.98,PERSEN,2024
354,71,SULAWESI UTARA,8,AGUSTUS,5.85,PERSEN,2024
355,72,SULAWESI TENGAH,2,FEBRUARI,3.15,PERSEN,2024
356,72,SULAWESI TENGAH,8,AGUSTUS,2.94,PERSEN,2024
357,73,SULAWESI SELATAN,2,FEBRUARI,4.9,PERSEN,2024
358,73,SULAWESI SELATAN,8,AGUSTUS,4.19,PERSEN,2024
359,74,SULAWESI TENGGARA,2,FEBRUARI,3.22,PERSEN,2024
360,74,SULAWESI TENGGARA,8,AGUSTUS,3.09,PERSEN,2024
361,75,GORONTALO,2,FEBRUARI,3.05,PERSEN,2024
362,75,GORONTALO,8,AGUSTUS,3.13,PERSEN,2024
363,76,SULAWESI BARAT,2,FEBRUARI,3.02,PERSEN,2024
364,76,SULAWESI BARAT,8,AGUSTUS,2.68,PERSEN,2024
365,81,MALUKU,2,FEBRUARI,5.96,PERSEN,2024
366,81,MALUKU,8,AGUSTUS,6.11,PERSEN,2024
367,82,MALUKU UTARA,2,FEBRUARI,4.16,PERSEN,2024
368,82,MALUKU UTARA,8,AGUSTUS,4.03,PERSEN,2024
369,91,PAPUA BARAT,2,FEBRUARI,4.31,PERSEN,2024
370,91,PAPUA BARAT,8,AGUSTUS,4.13,PERSEN,2024
371,92,PAPUA BARAT DAYA,2,FEBRUARI,6.02,PERSEN,2024
372,92,PAPUA BARAT DAYA,8,AGUSTUS,6.48,PERSEN,2024
